#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-07-25T12:52:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d39a547de31	
#INFO	-out.max=unlimited	
#INFO	queryParameters=8	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-source=J/AJ/126/1607/table1
#

#RESOURCE=yCat_51261607
#Name: J/AJ/126/1607
#Title: IRAS Revised Bright Galaxy Sample (Sanders+, 2003)
#Table	J_AJ_126_1607_table1:
#Name: J/AJ/126/1607/table1
#Title: IRAS Revised Bright Galaxy Sample: Integrated Flux Densities and Luminosities
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a17)	Common name (1)	[ucd=]
#Column	n_Name	(A1)	indicates complements in table3	[ucd=]
#Column	f_Name	(A1)	Flag on Name (2)	[ucd=]
#Column	IRAS	(a11)	IRAS name (3)	[ucd=]
#Column	f_IRAS	(A1)	Flag on IRAS (4)	[ucd=]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000) (5)	[ucd=]
#Column	DEJ2000	(A9)	Degree of declination (J2000) (5)	[ucd=]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=]
#Column	HR	(A1)	HIRES code (6)	[ucd=]
#Column	l_F12um	(A1)	Limit flag on F12um	[ucd=]
#Column	F12um	(F7.2)	Total 12 micron band flux density	[ucd=]
#Column	u_F12um	(A1)	Confusion uncertainty flag on F12um	[ucd=]
#Column	e_F12um	(I2)	? 1 {sigma} error in F12um [NULL integer written as an empty string]	[ucd=]
#Column	S12um	(A1)	IR size flag on 12um (7)	[ucd=]
#Column	M12um	(A1)	Best flux estimate method flag on 12um (8)	[ucd=]
#Column	C12um	(A1)	Confusion type flag on 12um (9)	[ucd=]
#Column	F25um	(F7.2)	Total 25 micron band flux density	[ucd=]
#Column	u_F25um	(A1)	Confusion uncertainty flag on 25um	[ucd=]
#Column	e_F25um	(I3)	? 1 {sigma} error in F25um [NULL integer written as an empty string]	[ucd=]
#Column	S25um	(A1)	IR size flag on 25um (7)	[ucd=]
#Column	M25um	(A1)	Best flux estimate method flag on 25um (8)	[ucd=]
#Column	C25um	(A1)	Confusion type flag on 25um (9)	[ucd=]
#Column	F60um	(F8.2)	Total 60 micron band flux density	[ucd=]
#Column	u_F60um	(A1)	Confusion uncertainty flag on 60um	[ucd=]
#Column	e_F60um	(I3)	? 1 {sigma} error in F60um [NULL integer written as an empty string]	[ucd=]
#Column	S60um	(A1)	IR size flag on 60um (7)	[ucd=]
#Column	M60um	(A1)	Best flux estimate method flag on 60um (8)	[ucd=]
#Column	C60um	(A1)	Confusion type flag on 60um (9)	[ucd=]
#Column	F100um	(F8.2)	? Total 100 micron band flux density	[ucd=]
#Column	u_F100um	(A1)	Confusion uncertainty flag on 100um	[ucd=]
#Column	e_F100um	(I4)	? 1 {sigma} error in F100um [NULL integer written as an empty string]	[ucd=]
#Column	S100um	(A1)	IR size flag on 100um (7)	[ucd=]
#Column	M100um	(A1)	Best flux estimate method flag on 100um (8)	[ucd=]
#Column	C100um	(A1)	Confusion type flag on 100um (9)	[ucd=]
#Column	cz	(I5)	Heliocentric radial velocity (10)	[ucd=]
#Column	Dist	(F6.2)	Estimated source distance (11)	[ucd=]
#Column	f_Dist	(A1)	Flag on Dist (12)	[ucd=]
#Column	LogIR1	(F5.2)	Log of the 40-400 micron luminosity (13)	[ucd=]
#Column	u_LogIR1	(A1)	Uncertainty flag on LogIR1	[ucd=]
#Column	LogIR2	(F5.2)	Log of the 8-1000 micron luminosity (14)	[ucd=]
#Column	u_LogIR2	(A1)	Uncertainty flag on LogIR2	[ucd=]
#Column	Rank	(I3)	Sequential rank in the luminosity distribution	[ucd=]
#Column	OName	(a35)	Other names (15)	[ucd=]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
_RAJ2000	_DEJ2000	Name	n_Name	f_Name	IRAS	f_IRAS	RAJ2000	DEJ2000	GLON	GLAT	HR	l_F12um	F12um	u_F12um	e_F12um	S12um	M12um	C12um	F25um	u_F25um	e_F25um	S25um	M25um	C25um	F60um	u_F60um	e_F60um	S60um	M60um	C60um	F100um	u_F100um	e_F100um	S100um	M100um	C100um	cz	Dist	f_Dist	LogIR1	u_LogIR1	LogIR2	u_LogIR2	Rank	OName	Simbad	NED
032.753750	+37.665833	NGC 0834         	 	2	F02079+3725	 	02 11 00.9	+37 39 57	139.89	-22.57	 	 	   0.41	 	16	U	T	 	   0.84	 	 23	U	T	 	    6.65	 	 26	U	T	 	   12.77	 	 151	U	T	 	 4687	 61.48	 	10.81	 	10.94	 	216	                                   	Simbad	NED
033.517083	 +5.172222	IC 0214          	*	1	F02114+0456	 	02 14 04.1	+05 10 20	157.76	-52.02	S	 	   0.26	 	51	U	T	 	   0.62	 	 54	U	T	 	    5.28	 	 39	U	T	 	    8.57	 	 108	U	T	 	 9061	117.29	 	11.25	 	11.37	 	 92	MRK1027                            	Simbad	NED
034.138333	-11.347222	NGC 0873         	 	1	F02141-1134	 	02 16 33.2	-11 20 50	178.77	-64.53	 	 	   0.44	 	43	U	T	 	   0.69	 	 58	U	T	 	    5.81	 	 49	U	T	 	   12.86	 	 134	U	T	 	 4036	 52.45	 	10.65	 	10.77	 	269	                                   	Simbad	NED
034.497083	+14.541667	NGC 0877         	 	1	F02152+1418	 	02 17 59.3	+14 32 30	152.32	-43.34	R	 	   0.84	 	33	R	I	 	   1.41	 	 48	R	I	 	   11.82	 	 23	R	I	 	   25.56	 	 158	M	I	 	 3874	 50.29	 	10.92	 	11.04	 	187	                                   	Simbad	NED
035.639583	+42.355000	NGC 0891         	 	2	F02194+4207	R	02 22 33.5	+42 21 18	140.38	-17.41	 	 	   5.27	 	36	R	Z	 	   7.00	 	 39	R	Z	 	   66.46	 	 71	R	I	 	  172.23	 	 353	R	I	 	  533	  8.57	S	10.18	 	10.27	 	435	                                   	Simbad	NED
035.840000	+32.195278	MCG+05-06-036    	 	2	F02203+3158	 	02 23 21.6	+32 11 43	144.65	-26.77	R	 	   0.34	 	22	R	I	 	   0.80	 	 27	M	I	 	    6.55	 	 44	U	T	 	   11.63	 	  76	U	T	 	10130	131.71	 	11.46	 	11.59	 	 62	MRK1034;VZw233;KPG067              	Simbad	NED
035.772083	-21.232778	NGC 0908         	 	1	F02207-2127	 	02 23 05.3	-21 13 58	202.14	-68.32	 	 	   1.74	 	38	R	I	 	   2.21	 	 35	R	I	 	   17.54	 	 47	R	I	 	   52.35	 	 127	M	I	 	 1497	 15.75	S	10.19	 	10.27	 	436	                                   	Simbad	NED
036.029583	+47.968611	UGC 01845        	 	2	F02208+4744	 	02 24 07.1	+47 58 07	138.56	-12.07	 	 	   0.35	 	19	U	T	 	   1.07	 	 39	U	T	 	   10.31	 	 49	U	T	 	   15.51	 	 723	U	T	 	 4679	 61.97	 	10.95	 	11.07	 	172	                                   	Simbad	NED
036.267500	-24.789167	NGC 0922         	 	1	F02228-2500	 	02 25 04.2	-24 47 21	211.86	-68.85	 	 	   0.33	 	29	R	I	 	   0.74	 	 26	R	I	 	    5.53	 	 48	R	I	 	    9.68	 	 127	U	T	 	 3092	 40.57	 	10.34	 	10.48	 	365	AM0222-250                         	Simbad	NED
036.819167	+33.577500	NGC 0925         	 	N	F02242+3321	R	02 27 16.6	+33 34 39	144.88	-25.18	 	 	   0.56	 	22	R	Z	 	   0.83	 	 34	R	I	 	    7.82	 	 41	R	Z	 	   21.08	 	  87	R	I	 	  553	  9.16	P	 9.32	 	 9.40	 	599	                                   	Simbad	NED
037.679167	 -2.938333	NGC 0958         	 	1	F02281-0309	 	02 30 43.0	-02 56 18	171.68	-56.11	 	 	   0.62	 	30	R	I	 	   0.94	 	 35	R	I	 	    5.85	 	 40	R	I	 	   15.08	 	 198	U	T	 	 5896	 76.36	 	11.04	 	11.17	 	146	                                   	Simbad	NED
038.555000	+29.311667	NGC 0972         	 	2	F02312+2905	 	02 34 13.2	+29 18 42	148.39	-28.43	 	 	   2.03	 	32	R	I	 	   3.46	 	 34	R	I	 	   33.52	 	 49	R	I	 	   59.61	 	 261	U	T	 	 1489	 20.65	 	10.54	 	10.67	 	306	                                   	Simbad	NED
038.392917	-39.045000	NGC 0986         	 	2	F02315-3915	 	02 33 34.3	-39 02 42	248.69	-65.64	 	 	   1.42	 	33	R	I	 	   3.65	 	 32	M	I	 	   25.06	 	 48	M	I	 	   49.88	 	 114	U	T	 	 2005	 26.43	 	10.66	 	10.78	 	266	AM0231-391                         	Simbad	NED
039.354167	+21.100278	NGC 0992         	 	1	F02345+2053	 	02 37 25.0	+21 06 01	153.63	-35.38	 	 	   0.56	 	29	R	Z	 	   1.76	 	 31	R	Z	 	   11.40	 	 42	M	I	 	   16.72	 	 173	U	T	 	 4136	 53.83	 	10.87	 	11.02	 	191	IIZw004;IIIZw050                   	Simbad	NED
039.632500	 -6.677778	NGC 1022         	 	1	F02360-0653	 	02 38 31.8	-06 40 40	179.01	-57.37	 	 	   0.71	 	23	U	T	 	   3.28	 	 30	U	T	 	   19.71	 	 35	U	T	 	   27.33	 	 111	U	T	 	 1461	 19.33	 	10.20	 	10.35	 	409	                                   	Simbad	NED
040.434583	 +0.443333	NGC 1055         	 	1	F02391+0013	 	02 41 44.3	+00 26 36	171.33	-51.75	 	 	   2.24	 	31	R	I	 	   2.84	 	 50	R	I	 	   23.37	 	 51	R	I	 	   65.26	 	  82	M	I	 	  996	 11.31	S	10.00	 	10.09	 	504	                                   	Simbad	NED
040.651667	+34.765000	NGC 1050         	 	2	F02395+3433	 	02 42 36.4	+34 45 54	147.47	-22.75	 	 	   0.29	 	23	U	T	 	   1.35	 	 32	U	T	 	    5.62	 	 31	U	T	 	    8.80	 	 106	U	T	 	 3901	 51.32	 	10.53	 	10.72	 	292	                                   	Simbad	NED
040.701250	+28.573889	NGC 1056         	 	2	F02398+2821	 	02 42 48.3	+28 34 26	150.68	-28.23	 	 	   0.34	 	22	U	T	 	   0.48	 	 29	U	T	 	    5.33	 	 40	U	T	 	   10.20	 	 259	U	T	 	 1545	 21.33	 	 9.79	 	 9.90	 	546	MRK1183                            	Simbad	NED
040.672500	 -0.012500	NGC 1068         	 	1	F02401-0013	 	02 42 41.4	-00 00 45	172.11	-51.93	 	 	  39.84	 	76	M	I	 	  87.57	 	171	U	T	 	  196.37	 	108	M	I	 	  257.37	 	 228	M	I	 	 1005	 13.70	 	10.89	 	11.27	 	122	ARP037                             	Simbad	NED
041.416667	-15.358333	NGC 1083         	 	1	F02433-1534	 	02 45 40.0	-15 21 30	194.85	-60.99	 	 	   0.31	 	27	U	T	 	   0.78	 	 27	M	I	 	    7.68	 	 98	M	I	 	   13.57	 	 326	U	T	 	 4101	 53.46	 	10.73	 	10.84	 	249	                                   	Simbad	NED
041.498750	 -7.578056	NGC 1084         	 	1	F02435-0747	 	02 45 59.7	-07 34 41	182.48	-56.55	 	 	   1.96	 	22	R	I	 	   3.20	 	 45	R	I	 	   29.41	 	 37	R	I	 	   58.64	 	 109	M	I	 	 1405	 18.61	 	10.42	 	10.54	 	343	                                   	Simbad	NED
041.570833	+13.095833	UGC 02238        	 	1	F02435+1253	 	02 46 17.0	+13 05 45	161.29	-41.07	 	 	   0.36	 	30	U	T	 	   0.65	:	 42	U	P	n	    8.17	 	 36	U	T	 	   15.67	 	 128	U	T	 	 6436	 83.37	 	11.17	 	11.26	:	124	                                   	Simbad	NED
041.659583	+21.585000	IRAS F02437+2122 	 	1	F02437+2122	 	02 46 38.3	+21 35 06	155.59	-33.88	 	 	   0.10	:	  	U	P	n	   0.63	:	 38	U	P	n	    5.90	 	 47	U	T	 	    6.67	:	 459	U	P	n	 6987	 90.66	 	11.02	:	11.11	:	159	                                   	Simbad	NED
041.604583	 -0.498056	NGC 1087         	 	1	02438-0042 	 	02 46 25.1	-00 29 53	173.74	-51.65	 	 	   0.97	 	25	R	I	 	   1.41	 	 61	R	I	 	   12.16	 	 56	R	I	 	   27.98	 	 151	U	T	 	 1509	 20.05	 	10.14	 	10.26	 	438	                                   	Simbad	NED
041.577917	-30.274722	NGC 1097         	 	2	F02441-3029	 	02 46 18.7	-30 16 29	226.91	-64.68	S	 	   2.96	 	28	R	I	 	   7.30	 	 41	R	I	 	   53.35	 	 38	R	I	 	  104.79	 	 122	R	I	 	 1289	 16.80	 	10.59	 	10.71	 	294	ARP077;AM0244-302                  	Simbad	NED
043.418333	+13.014167	NGC 1134         	 	1	F02509+1248	 	02 53 40.4	+13 00 51	163.29	-40.09	 	 	   0.55	 	32	U	T	 	   0.92	:	 48	U	P	n	    9.09	 	 56	U	T	 	   16.43	 	 111	U	T	 	 3643	 47.41	 	10.70	 	10.83	:	252	ARP200                             	Simbad	NED
043.507917	+14.971389	UGC 02369        	 	1	F02512+1446	 	02 54 01.9	+14 58 17	161.90	-38.45	S	 	   0.23	 	22	U	T	 	   1.88	 	 42	R	I	 	    8.07	 	 43	U	T	 	   11.18	 	 190	U	T	 	 9406	121.94	 	11.44	 	11.60	 	 54	KPG082                             	Simbad	NED
043.988750	 +0.692500	UGC 02403        	 	1	F02533+0029	 	02 55 57.3	+00 41 33	175.13	-49.14	 	 	   0.27	 	19	U	T	 	   0.87	 	 35	U	T	 	    7.72	 	 42	U	T	 	   12.06	 	  90	U	T	 	 4143	 53.78	 	10.71	 	10.83	 	255	                                   	Simbad	NED
044.928750	+25.238889	NGC 1156         	 	2	F02567+2502	 	02 59 42.9	+25 14 20	156.31	-29.19	 	 	   0.26	 	23	R	I	 	   0.61	 	 32	M	I	 	    6.16	 	 61	R	I	 	   12.12	 	 399	R	I	 	  375	  6.96	 	 8.88	 	 8.98	 	615	VV531                              	Simbad	NED
044.992083	+36.820000	UGC 02456        	 	2	F02568+3637	 	02 59 58.1	+36 49 12	149.74	-19.27	 	 	   0.46	 	26	U	T	 	   2.35	 	 31	U	T	 	   11.01	 	 75	U	T	 	   12.48	 	 386	U	T	 	 3605	 47.70	 	10.72	 	10.89	 	238	MRK1066                            	Simbad	NED
045.501667	+70.242778	IRAS F02572+7002 	 	2	F02572+7002	 	03 02 00.4	+70 14 34	133.61	 10.13	 	 	   0.31	 	26	U	T	 	   0.82	 	 28	U	T	 	    5.62	:	128	U	P	n	    9.09	:	 733	U	P	n	 4886	 66.34	 	10.77	:	10.91	:	226	                                   	Simbad	NED
045.657917	-22.866667	NGC 1187         	 	1	F03004-2303	 	03 02 37.9	-22 52 00	212.09	-60.05	 	 	   0.91	 	30	R	I	 	   1.85	 	 31	R	I	 	   11.75	 	 30	R	I	 	   26.44	 	 111	M	I	 	 1396	 18.32	 	10.04	 	10.18	 	475	AM0300-230                         	Simbad	NED
046.168750	-12.340556	NGC 1204         	 	1	F03022-1232	 	03 04 40.5	-12 20 26	194.19	-55.49	 	 	   0.25	 	35	U	T	 	   1.10	 	 39	M	I	 	    7.33	 	 35	U	T	 	   10.18	 	  76	U	T	 	 4490	 58.51	 	10.74	 	10.88	 	241	                                   	Simbad	NED
047.238750	 -2.954444	NGC 1222         	 	1	F03064-0308	 	03 08 57.3	-02 57 16	182.60	-49.20	 	 	   0.50	 	23	U	T	 	   2.28	 	 40	U	T	 	   13.06	 	 40	U	T	 	   15.41	 	 111	U	T	 	 2462	 32.26	 	10.46	 	10.60	 	327	MRK0603                            	Simbad	NED
047.440833	-20.575556	NGC 1232         	 	1	F03075-2045	 	03 09 45.8	-20 34 32	208.77	-57.81	 	 	   0.88	 	20	R	I	 	   1.32	 	 28	R	Z	 	    8.37	 	 37	R	I	 	   28.47	 	  63	R	I	 	 1682	 22.13	 	10.21	 	10.28	 	434	ARP041                             	Simbad	NED
048.753750	+42.035556	UGC 02608        	 	2	F03117+4151	 	03 15 00.9	+42 02 08	149.51	-13.31	 	 	   0.44	 	27	U	T	 	   1.45	 	 21	U	T	 	    8.18	 	 41	U	T	 	   11.27	 	 413	U	T	 	 6953	 91.16	 	11.18	 	11.35	 	 99	MRK1073                            	Simbad	NED
049.007083	 -2.426111	NGC 1266         	 	1	F03135-0236	 	03 16 01.7	-02 25 34	183.67	-47.50	 	 	   0.25	 	30	R	I	 	   1.20	 	 32	U	T	 	   13.13	 	 45	U	T	 	   16.89	 	 185	U	T	 	 2194	 28.86	 	10.36	 	10.46	 	371	                                   	Simbad	NED
049.944583	+41.510278	NGC 1275         	 	2	F03164+4119	 	03 19 46.7	+41 30 37	150.57	-13.26	R	 	   1.06	 	14	M	I	 	   3.44	 	 27	U	T	 	    6.99	 	 42	U	T	 	    7.20	 	 469	U	T	 	 5264	 69.33	 	10.86	 	11.20	 	138	MRK1505;MRK9013                    	Simbad	NED
049.569583	-66.491667	NGC 1313         	 	2	F03176-6640	R	03 18 16.7	-66 29 30	283.35	-44.65	 	 	   0.89	 	30	R	Z	 	   2.48	 	 38	R	Z	 	   30.71	 	 66	R	Z	 	   63.14	 	 427	R	Z	 	  457	  4.00	 	 9.11	 	 9.18	 	609	VV436;AM0317-664                   	Simbad	NED
050.529583	-15.398056	NGC 1309         	 	1	F03197-1534	 	03 22 07.1	-15 23 53	202.20	-53.15	 	 	   0.32	 	20	U	T	 	   0.63	 	 24	R	I	 	    6.16	 	 19	M	I	 	   14.68	 	 129	U	T	 	 2135	 28.11	 	10.15	 	10.24	 	450	                                   	Simbad	NED
051.271667	+40.558889	IRAS F03217+4022 	*	2	F03217+4022	 	03 25 05.2	+40 33 32	151.97	-13.49	R	 	   0.25	 	29	U	T	 	   0.91	 	 46	U	T	 	    7.47	 	 59	U	T	 	   10.87	 	 317	U	T	 	 7007	 91.84	 	11.16	 	11.28	 	119	                                   	Simbad	NED
050.982917	-36.464444	NGC 1326         	 	2	F03220-3638	 	03 23 55.9	-36 27 52	238.77	-56.52	 	 	   0.52	 	29	R	I	 	   0.93	 	 19	M	I	 	    8.01	 	 45	U	T	 	   13.99	 	  73	U	T	 	 1360	 16.13	P	 9.70	 	 9.84	 	556	                                   	Simbad	NED
053.423750	-21.478611	IC 1953          	 	1	F03314-2138	 	03 33 41.7	-21 28 43	213.27	-52.76	 	 	   0.21	 	21	M	I	 	   0.96	 	 27	U	T	 	    8.81	 	 29	U	T	 	   11.97	 	  94	U	T	 	 1867	 24.64	 	10.06	 	10.17	 	478	                                   	Simbad	NED
053.402083	-36.139722	NGC 1365         	 	2	F03316-3618	R	03 33 36.5	-36 08 23	237.96	-54.60	 	 	   5.12	 	31	R	Z	 	  14.28	 	 38	R	Z	 	   94.31	 	 33	M	I	 	  165.67	 	 126	M	I	 	 1636	 17.93	P	10.86	 	11.00	 	199	VV825                              	Simbad	NED
054.159167	-20.902222	NGC 1377         	 	1	F03344-2103	 	03 36 38.2	-20 54 08	212.70	-51.93	 	 	   0.56	 	20	R	I	 	   1.93	 	 30	U	T	 	    7.43	 	 37	U	T	 	    5.95	 	 108	U	T	 	 1792	 23.66	 	 9.95	 	10.13	 	489	                                   	Simbad	NED
054.189583	-35.999444	NGC 1386         	 	2	F03348-3609	 	03 36 45.5	-35 59 58	237.66	-53.97	 	 	   0.52	 	25	U	T	 	   1.46	 	 17	U	T	 	    5.92	 	 33	U	T	 	    9.55	 	  66	U	T	 	  868	 10.90	 	 9.21	 	 9.42	 	598	                                   	Simbad	NED
054.370000	-24.499722	NGC 1385         	 	1	F03353-2439	 	03 37 28.8	-24 29 59	218.46	-52.71	 	 	   1.17	 	22	R	I	 	   2.00	 	 24	R	I	 	   17.23	 	 28	R	I	 	   36.03	 	  76	U	T	 	 1493	 15.90	S	10.06	 	10.18	 	471	AM0335-244                         	Simbad	NED
054.703333	+15.548889	IRAS F03359+1523 	 	1	F03359+1523	 	03 38 48.8	+15 32 56	171.57	-31.10	 	<	   0.07	 	  	 	 	 	   0.65	 	 43	U	T	 	    5.97	 	 41	U	T	 	    7.27	:	 128	U	P	n	10549	137.11	 	11.40	:	11.47	:	 81	                                   	Simbad	NED
054.846667	-31.322222	NGC 1406         	 	2	F03373-3129	 	03 39 23.2	-31 19 20	229.79	-53.34	 	 	   1.00	 	21	R	I	 	   1.38	 	 22	M	I	 	   12.87	 	 25	M	I	 	   27.49	 	  74	U	T	 	 1068	 18.98	P	10.10	 	10.22	 	454	AM0337-312                         	Simbad	NED
055.236667	-22.564722	NGC 1415         	 	1	F03387-2243	 	03 40 56.8	-22 33 53	215.73	-51.45	 	 	   0.53	 	29	R	I	 	   0.55	 	 26	U	T	 	    5.68	 	 37	M	I	 	   12.27	 	  54	U	T	 	 1585	 20.91	 	 9.83	 	 9.96	 	533	AM0338-224                         	Simbad	NED
055.615417	-13.489722	NGC 1421         	 	1	F03401-1338	 	03 42 27.7	-13 29 23	202.80	-47.89	 	 	   0.80	 	24	R	I	 	   1.40	 	 30	R	I	 	   10.95	 	 48	R	I	 	   22.62	 	  82	M	I	 	 2016	 21.20	S	10.11	 	10.25	 	447	                                   	Simbad	NED
056.705833	+68.096944	IC 342           	 	2	F03419+6756	R	03 46 49.4	+68 05 49	138.17	 10.58	 	 	  14.92	 	34	R	Z	 	  34.48	 	 38	R	Z	 	  180.80	 	 70	R	Z	 	  391.66	 	 434	R	Z	 	   31	  4.60	S	10.01	 	10.17	 	477	                                   	Simbad	NED
056.133750	-44.644722	NGC 1448         	 	2	F03428-4448	R	03 44 32.1	-44 38 41	251.52	-51.39	 	 	   1.10	 	27	R	I	 	   1.44	 	 29	R	I	 	   10.32	 	 33	R	I	 	   32.43	 	  87	M	I	 	 1164	 11.47	S	 9.70	 	 9.78	 	570	AM0342-444                         	Simbad	NED
057.080833	+70.134167	UGC 02855        	 	2	F03432+6958	 	03 48 19.4	+70 08 03	136.97	 12.25	 	 	   2.95	 	12	R	I	 	   4.86	 	 23	R	I	 	   42.21	 	 29	R	I	 	   89.18	 	 267	M	I	 	 1184	 19.46	 	10.63	 	10.75	 	276	                                   	Simbad	NED
057.652083	+73.030833	UGC 02865        	 	2	F03450+7252	 	03 50 36.5	+73 01 51	135.20	 14.58	 	 	   0.23	 	18	U	T	 	   0.66	 	 17	U	T	 	    5.60	 	 29	M	I	 	   10.73	:	 205	U	P	n	 4312	 59.30	 	10.70	:	10.81	:	259	                                   	Simbad	NED
057.563750	+70.095000	UGC 02866        	 	2	F03451+6956	 	03 50 15.3	+70 05 42	137.12	 12.32	 	 	   1.69	 	19	M	I	 	   6.39	 	 22	U	T	 	   39.32	 	 15	U	T	 	   51.07	 	 265	U	T	 	 1232	 20.06	 	10.52	 	10.68	 	303	                                   	Simbad	NED
058.568333	+15.928889	CGCG 465-012     	*	2	F03514+1546	 	03 54 16.4	+15 55 44	174.28	-28.20	 	 	   0.31	:	30	U	T	g	   0.75	:	 96	U	T	g	    5.65	:	 78	U	T	g	    8.95	:	 556	U	P	g	 6662	 86.84	 	11.00	:	11.15	:	149	KPG095B                            	Simbad	NED
058.665833	-20.501944	NGC 1482         	 	1	F03524-2038	 	03 54 39.8	-20 30 07	214.12	-47.80	 	 	   1.55	 	22	U	T	 	   4.68	 	 44	U	T	 	   33.36	 	 60	U	T	 	   46.73	 	  68	U	T	 	 1894	 25.09	 	10.66	 	10.80	 	260	                                   	Simbad	NED
060.627917	+60.342500	IRAS 03582+6012  	 	2	03582+6012 	 	04 02 30.7	+60 20 33	144.54	  5.75	 	 	   0.14	 	25	U	T	 	   0.70	:	 28	U	P	n	    5.65	:	 96	U	P	n	    7.76	:	 630	U	P	n	 8997	119.05	 	11.26	:	11.37	:	 93	                                   	Simbad	NED
059.905833	-67.635000	NGC 1511         	 	2	F03594-6746	 	03 59 37.4	-67 38 06	281.37	-40.73	 	 	   1.21	 	24	R	I	 	   3.25	 	 24	R	I	 	   25.38	 	 42	R	I	 	   40.75	 	 124	U	T	 	 1329	 16.33	 	10.19	 	10.32	 	420	AM0359-674                         	Simbad	NED
061.947500	+69.811944	IC 0356          	 	N	F04025+6940	 	04 07 47.4	+69 48 43	138.46	 13.11	 	 	   1.08	 	46	R	I	 	   0.84	 	 21	R	I	 	    6.77	 	 59	R	I	 	   28.33	 	 618	R	I	 	  895	 15.86	 	 9.92	 	 9.97	 	531	ARP213                             	Simbad	NED
063.093333	 +5.546944	UGC 02982        	 	1	F04097+0525	 	04 12 22.4	+05 32 49	186.74	-31.50	 	 	   0.57	 	14	U	T	 	   0.83	 	 19	U	T	 	    8.39	 	 43	U	T	 	   16.82	 	 287	U	T	 	 5161	 67.57	 	11.01	 	11.13	 	153	                                   	Simbad	NED
063.005000	-32.886389	NGC 1532         	 	N	F04101-3300	 	04 12 01.2	-32 53 11	233.18	-46.60	 	 	   1.00	 	21	R	Z	 	   1.12	 	 17	R	Z	 	    9.63	 	 34	R	I	 	   30.61	 	 140	R	I	 	 1196	 15.51	 	 9.94	 	10.01	 	523	AM0410-330                         	Simbad	NED
063.458750	-32.006667	ESO 420-G013     	 	2	F04118-3207	 	04 13 50.1	-32 00 24	231.98	-46.11	 	 	   0.95	 	22	R	Z	 	   2.22	 	 31	M	I	 	   13.66	 	 18	U	T	 	   20.88	 	  85	U	T	 	 3570	 47.60	 	10.85	 	11.02	 	192	AM0411-320                         	Simbad	NED
063.623333	-56.070278	NGC 1546         	 	2	04134-5611 	 	04 14 29.6	-56 04 13	266.11	-43.83	 	 	   0.46	 	18	R	I	 	   0.73	 	 11	R	I	 	    5.40	 	 33	U	T	 	   20.05	 	  62	U	T	 	 1276	 15.93	 	 9.77	 	 9.80	 	566	AM0413-561                         	Simbad	NED
064.100833	-60.207222	IC 2056          	 	2	F04155-6019	 	04 16 24.2	-60 12 26	271.36	-42.26	 	 	   0.49	 	13	M	I	 	   0.76	 	 14	M	I	 	    6.06	 	 34	U	T	 	   12.67	 	 104	U	T	 	 1133	 13.75	 	 9.48	 	 9.62	 	587	                                   	Simbad	NED
064.405833	-62.783056	NGC 1559         	 	2	F04170-6254	 	04 17 37.4	-62 46 59	274.51	-41.20	 	 	   1.84	 	18	R	I	 	   3.05	 	 26	R	I	 	   30.24	 	 23	R	I	 	   61.20	 	 165	M	I	 	 1292	 12.69	S	10.10	 	10.21	 	455	AM0417-625                         	Simbad	NED
065.865000	+75.295278	NGC 1530         	 	2	F04170+7510	 	04 23 27.6	+75 17 43	135.22	 17.76	 	 	   0.72	 	22	R	I	 	   1.23	 	 21	R	I	 	    9.88	 	 43	R	I	 	   25.80	 	 128	M	I	 	 2484	 36.22	 	10.61	 	10.70	 	295	VIIZw012                           	Simbad	NED
064.999167	-54.935000	NGC 1566         	 	2	F04188-5503	 	04 19 59.8	-54 56 06	264.31	-43.40	 	 	   1.91	 	19	R	I	 	   3.02	 	 20	R	I	 	   22.53	 	 26	R	I	 	   58.05	 	 120	R	I	 	 1496	 19.10	 	10.41	 	10.51	 	355	                                   	Simbad	NED
065.331667	-18.812500	ESO 550-IG02     	*	1	F04191-1855	 	04 21 19.6	-18 48 45	214.77	-41.32	 	 	   0.22	 	24	M	I	 	   0.51	 	 34	U	T	 	    5.69	 	 30	M	I	 	    9.47	 	 115	U	T	 	 9652	126.43	 	11.35	 	11.45	 	 82	                                   	Simbad	NED
